"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"missMDA","C:/Users/jub29yk/R/R-4.2.1/library","1.18",NA,"R (>= 3.3.0)","FactoMineR (>=
2.3),ggplot2,graphics,grDevices,mice,mvtnorm,stats,utils,doParallel,parallel,foreach",NA,"knitr, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"mockery","C:/Users/jub29yk/R/R-4.2.1/library","0.4.3",NA,NA,"testthat",NA,"knitr, R6, rmarkdown (>= 1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"modelr","C:/Users/jub29yk/R/R-4.2.1/library","0.1.10",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"multcompView","C:/Users/jub29yk/R/R-4.2.1/library","0.1-8",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.2"
"munsell","C:/Users/jub29yk/R/R-4.2.1/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"mvtnorm","C:/Users/jub29yk/R/R-4.2.1/library","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"nlme","C:/Users/jub29yk/R/R-4.2.1/library","3.1-157","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"nloptr","C:/Users/jub29yk/R/R-4.2.1/library","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"nnet","C:/Users/jub29yk/R/R-4.2.1/library","7.3-17","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"norm","C:/Users/jub29yk/R/R-4.2.1/library","1.0-10.0",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"numDeriv","C:/Users/jub29yk/R/R-4.2.1/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"openssl","C:/Users/jub29yk/R/R-4.2.1/library","2.0.5",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"openxlsx","C:/Users/jub29yk/R/R-4.2.1/library","4.2.5.1",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"pak","C:/Users/jub29yk/R/R-4.2.1/library","0.5.1",NA,"R (>= 3.2)","tools, utils",NA,"callr (>= 3.7.0), cli (>= 3.2.0), covr, curl (>= 4.3.2), desc
(>= 1.4.1), digest, distro, filelock (>= 1.0.2), gitcreds, glue
(>= 1.6.2), mockery, pingr, jsonlite (>= 1.8.0), pkgcache (>=
2.0.4), pkgdepends (>= 0.4.0), pkgsearch (>= 3.1.0),
prettyunits, processx (>= 3.8.1), ps (>= 1.6.0), rprojroot (>=
2.0.2), rstudioapi, testthat, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"parallel","C:/Users/jub29yk/R/R-4.2.1/library","4.2.1","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"parsedate","C:/Users/jub29yk/R/R-4.2.1/library","1.3.1",NA,NA,NA,NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.2"
"pbkrtest","C:/Users/jub29yk/R/R-4.2.1/library","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"pcaMethods","C:/Users/jub29yk/R/R-4.2.1/library","1.90.0",NA,"Biobase, methods","BiocGenerics, Rcpp (>= 0.11.3), MASS","Rcpp","matrixStats, lattice, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.1"
"pcaPP","C:/Users/jub29yk/R/R-4.2.1/library","2.0-3",NA,NA,"mvtnorm, methods",NA,"robustbase",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"pillar","C:/Users/jub29yk/R/R-4.2.1/library","1.8.1",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"pingr","C:/Users/jub29yk/R/R-4.2.1/library","2.0.2",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"pkgbuild","C:/Users/jub29yk/R/R-4.2.1/library","1.4.0",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot, withr (>= 2.3.0)",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"pkgcache","C:/Users/jub29yk/R/R-4.2.1/library","2.1.1",NA,"R (>= 3.4)","callr (>= 2.0.4.9000), cli (>= 3.2.0), curl (>= 3.2),
filelock, jsonlite, prettyunits, processx (>= 3.3.0.9001), R6,
rappdirs, tools, utils",NA,"covr, debugme, desc, fs, mockery, pillar, pingr, rprojroot,
sessioninfo, spelling, testthat (>= 3.0.0), webfakes (>=
1.1.5), withr, zip",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pkgconfig","C:/Users/jub29yk/R/R-4.2.1/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"pkgdepends","C:/Users/jub29yk/R/R-4.2.1/library","0.5.0",NA,"R (>= 3.4)","callr (>= 3.3.1), cli (>= 3.6.0), curl, desc (>= 1.2.0),
filelock (>= 1.0.2), glue, jsonlite, lpSolve, pkgbuild (>=
1.0.2), pkgcache (>= 2.1.0), prettyunits (>= 1.1.1), processx
(>= 3.4.2), ps, R6, rprojroot, stats, utils, withr (>= 2.1.1),
zip (>= 2.3.0)",NA,"asciicast (>= 2.2.0.9000), covr, debugme, fansi, fs,
htmlwidgets, mockery, pak, pingr (>= 2.0.0), rmarkdown,
rstudioapi, spelling, testthat, tibble, webfakes (>=
1.1.5.9000)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgdown","C:/Users/jub29yk/R/R-4.2.1/library","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"pkgload","C:/Users/jub29yk/R/R-4.2.1/library","1.3.2",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, rlang (>=
1.0.3), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, pkgbuild, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"pkgsearch","C:/Users/jub29yk/R/R-4.2.1/library","3.1.2",NA,NA,"curl, jsonlite, parsedate (>= 1.3.0), prettyunits",NA,"mockery, covr, memoise, pillar, pingr (>= 2.0.0), rstudioapi,
shiny, shinyjs, shinyWidgets, testthat (>= 2.1.0), whoami",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plyr","C:/Users/jub29yk/R/R-4.2.1/library","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"png","C:/Users/jub29yk/R/R-4.2.1/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"praise","C:/Users/jub29yk/R/R-4.2.1/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"preprocessCore","C:/Users/jub29yk/R/R-4.2.1/library","1.60.2",NA,NA,"stats",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"prettyunits","C:/Users/jub29yk/R/R-4.2.1/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"processx","C:/Users/jub29yk/R/R-4.2.1/library","3.8.1",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"profvis","C:/Users/jub29yk/R/R-4.2.1/library","0.3.7",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"progress","C:/Users/jub29yk/R/R-4.2.1/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"promises","C:/Users/jub29yk/R/R-4.2.1/library","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"proxy","C:/Users/jub29yk/R/R-4.2.1/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.2"
"ps","C:/Users/jub29yk/R/R-4.2.1/library","1.7.2",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0),",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"purrr","C:/Users/jub29yk/R/R-4.2.1/library","1.0.1",NA,"R (>= 3.4.0)","cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"quantmod","C:/Users/jub29yk/R/R-4.2.1/library","0.4.20",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader,jsonlite(>=
1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"quantreg","C:/Users/jub29yk/R/R-4.2.1/library","5.94",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"tripack, interp, rgl, logspline, nor1mix, Formula, zoo,
R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"R.matlab","C:/Users/jub29yk/R/R-4.2.1/library","3.7.0",NA,"R (>= 2.14.0)","methods, utils, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0),
R.utils (>= 2.5.0)",NA,"Matrix, SparseM",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"R.methodsS3","C:/Users/jub29yk/R/R-4.2.1/library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.oo","C:/Users/jub29yk/R/R-4.2.1/library","1.25.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.utils","C:/Users/jub29yk/R/R-4.2.1/library","2.12.2",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"R6","C:/Users/jub29yk/R/R-4.2.1/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"ragg","C:/Users/jub29yk/R/R-4.2.1/library","1.2.5",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"randomForest","C:/Users/jub29yk/R/R-4.2.1/library","4.7-1.1",NA,"R (>= 4.1.0), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"ranger","C:/Users/jub29yk/R/R-4.2.1/library","0.14.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"RankProd","C:/Users/jub29yk/R/R-4.2.1/library","3.24.0",NA,"R (>= 3.2.1), stats, methods, Rmpfr, gmp","graphics",NA,NA,NA,"file LICENSE",NA,"yes",NA,NA,"no","4.2.1"
"rappdirs","C:/Users/jub29yk/R/R-4.2.1/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"rcmdcheck","C:/Users/jub29yk/R/R-4.2.1/library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"RColorBrewer","C:/Users/jub29yk/R/R-4.2.1/library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.2.0"
"Rcpp","C:/Users/jub29yk/R/R-4.2.1/library","1.0.10",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"RcppArmadillo","C:/Users/jub29yk/R/R-4.2.1/library","0.11.4.3.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"RcppEigen","C:/Users/jub29yk/R/R-4.2.1/library","0.3.3.9.3",NA,"R (>= 3.6.0)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"RCurl","C:/Users/jub29yk/R/R-4.2.1/library","1.98-1.10",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"readr","C:/Users/jub29yk/R/R-4.2.1/library","2.1.3",NA,"R (>= 3.4)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"readxl","C:/Users/jub29yk/R/R-4.2.1/library","1.4.1",NA,"R (>= 3.4)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"rematch","C:/Users/jub29yk/R/R-4.2.1/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"rematch2","C:/Users/jub29yk/R/R-4.2.1/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"remotes","C:/Users/jub29yk/R/R-4.2.1/library","2.4.2",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"reprex","C:/Users/jub29yk/R/R-4.2.1/library","2.0.2",NA,"R (>= 3.4)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"reshape2","C:/Users/jub29yk/R/R-4.2.1/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"rex","C:/Users/jub29yk/R/R-4.2.1/library","1.2.1",NA,NA,"lazyeval",NA,"covr, dplyr, ggplot2, Hmisc, knitr, magrittr, rmarkdown,
roxygen2, rvest, stringr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"rhub","C:/Users/jub29yk/R/R-4.2.1/library","1.1.2",NA,NA,"assertthat, callr, cli (>= 1.1.0), crayon, desc, digest, httr,
jsonlite, parsedate, pillar, prettyunits, processx, R6,
rappdirs, rcmdcheck (>= 1.2.1), rematch, tibble, utils, uuid,
whoami, withr",NA,"covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"rlang","C:/Users/jub29yk/R/R-4.2.1/library","1.0.6",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"rmarkdown","C:/Users/jub29yk/R/R-4.2.1/library","2.20",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.5.1),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.36), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"Rmpfr","C:/Users/jub29yk/R/R-4.2.1/library","0.9-0",NA,"gmp (>= 0.6-1), R (>= 3.5.0)","stats, utils, methods",NA,"MASS, Bessel, polynom, sfsmisc (>= 1.1-14)","dfoptim, pracma, DPQ","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"rngtools","C:/Users/jub29yk/R/R-4.2.1/library","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"robustbase","C:/Users/jub29yk/R/R-4.2.1/library","0.95-0",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"ROCR","C:/Users/jub29yk/R/R-4.2.1/library","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"roxygen2","C:/Users/jub29yk/R/R-4.2.1/library","7.2.3",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"rpart","C:/Users/jub29yk/R/R-4.2.1/library","4.1.16","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"rprojroot","C:/Users/jub29yk/R/R-4.2.1/library","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"rrcov","C:/Users/jub29yk/R/R-4.2.1/library","1.7-2",NA,"R (>= 2.10), robustbase (>= 0.92.1), methods","stats, stats4, mvtnorm, lattice, pcaPP",NA,"grid, MASS",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"rrcovNA","C:/Users/jub29yk/R/R-4.2.1/library","0.4-15",NA,"rrcov (>= 1.3-7), robustbase (>= 0.92-1), methods","stats4, lattice, norm, cluster",NA,"grid",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"rstudioapi","C:/Users/jub29yk/R/R-4.2.1/library","0.14",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"rversions","C:/Users/jub29yk/R/R-4.2.1/library","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"rvest","C:/Users/jub29yk/R/R-4.2.1/library","1.0.3",NA,"R (>= 3.2)","glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr",NA,"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"S4Vectors","C:/Users/jub29yk/R/R-4.2.1/library","0.36.1",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"sandwich","C:/Users/jub29yk/R/R-4.2.1/library","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.2"
"sass","C:/Users/jub29yk/R/R-4.2.1/library","0.4.5",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"scales","C:/Users/jub29yk/R/R-4.2.1/library","1.2.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"scatterplot3d","C:/Users/jub29yk/R/R-4.2.1/library","0.3-42",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"selectr","C:/Users/jub29yk/R/R-4.2.1/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.2.2"
"sessioninfo","C:/Users/jub29yk/R/R-4.2.1/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.2"
"shape","C:/Users/jub29yk/R/R-4.2.1/library","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
